ID,Level,Question,isMCQ,A,B,C,D,Answer,Difficulty,Marks,Subject,Category,Year,School,Exam,Paper,Section,Number,Image,Image File
1,P6,Simplify 5a - 10 - 2a + 15.,Yes,3a - 5,3a + 5,7a - 5,7a + 5,A,-3.00,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,1,No,
2,P6,XY is a straight line as shown in the figure. Find ∠a.,Yes,10°,20°,48°,52°,A,-3.00,1,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,A,2,Yes,img_2.png
3,P6,4 : 7 = 32 : ?,Yes,42,49,56,63,C,-3.00,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,3,No,
4,P6,Express 2 3/8 as a decimal.,Yes,2.3,2.38,2.125,2.375,D,-3.00,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,4,No,
5,P6,Glenn bought a pizza. He ate 1/4 of the pizza and the remaining pizza was shared equally between his 2 friends. What fraction did each of his friend get?,Yes,1/8,1/2,3/8,3/4,B,-3.00,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,5,No,
6,P6,Calvin and Susie baked some cookies in the ration of 3:7. Calvin baked 60 fewer cookies than Susie. How many cookies did they bake altogether?,Yes,45,105,150,200,C,-3.00,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,6,No,
7,P6,Alex and Brian have some toy soldiers. Bryan had 30% of the toy soldiers and Alex has 84 toy soldiers. How many toy soldiers does Bryan have?,Yes,12,28,36,120,C,-3.00,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,A,7,No,
8,P6,What is the value of (5n + 13) / 4 when n = 11?,No,17,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B1,8,No,
9,P6,ABCD is a trapezium. ∠CBE = 50° and ∠DEB = 112°. Find ∠BCE.,No,62,-,-,-,A,-0.33,1,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,B1,9,Yes,img_9.png
10,P6,Sally spends 1/3 of her weekly allowance on lunch and 3/4 of the remainder on books. She has $8 left. What is her weekly allowance?,No,48,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B1,10,No,
11,P6,Find the value of 72 + 8 x 4 -20 ÷ 5.,No,100,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B1,11,No,
12,P6,"In the figure below, ABCD is a rectangle. DF = FE = EC. Find the shaded area.",No,99,-,-,-,A,-0.33,1,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,B1,12,Yes,img_12.png
13,P6,"ABCD is a rhombus. ∠ADC is 48° and ∠CBX is 18°, find ∠BXA.",No,84,-,-,-,A,-0.33,2,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,B2,13,Yes,img_13.png
