,qn_num,pg_num,pdf_name,text,img_path
1,1,3,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_3_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"1. Mary placed four slices of the same type of bread in four set-ups at room
temperature. In which set-up would fungus first appear on the slice of bread? .(4)- (2) Cn
substance that ,
ebsorbs moisture: Co .
“poo: /  asiica of water a slice of
= CF . bread a CF bread
SetupA",TempImages/2.jpg;TempImages/1.jpg;TempImages/3.jpg;TempImages/4.jpg
2,2,4,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_4_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,,TempImages/5.jpg
3,3,4,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_4_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Male reproductive cells are-produced In the male reproductive parts.
B The fertilised egg develops in the ovary.
Fertilisation occurs in the ovary.",
4,4,4,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_4_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,which of the tovowing is correct?,
5,5,4,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_4_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Lr 7“ Fimane [ Plants
pee be cee pe
a 5 ALC

— . ee
(2) A AB,
”() ans ee ee BC
wy ~ “AG”, AB",
6,6,5,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_5_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"4. Haoming sets up an experiment as shown bélow te-find out. if the- absence. of
roots affects the amount of water. absorbed.",
7,7,6,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_6_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Whisn. of ihe fovowing snouia Faoming use as the contro! set-up for ols
experiment?(1) i 2)
4 eG Wye
re PN ne
ae ENS
= e TP R
ne | eee ~— "" a layer of oil
; el —~— 300miof = 8
, AZAR water aR
/ ES ay EAS :5. The diagram below shows.the-movement of blood in pathways, A, B, C and D,-of
the human circulatory-system:",TempImages/7.jpg;TempImages/6.jpg;TempImages/9.jpg;TempImages/8.jpg
8,8,7,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_7_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Which of the folowing Is true about cel) A?(1) Part A gives cell A us reguiar shape.

(2).Part‘C contains genetic information for cell X.

(3) Pait D controls all the activities that take place in cell X.
(4).Part 8 controls the substances entering and leaving cell X.",TempImages/11.jpg
9,9,8,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_8_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"(1) J.ns fur heips the wearer to biend in wih.white wails.

-(2) The fur is dark coloured so it gains Jess, heat from the sun.

(3) The fur traps air so the wearer will lose fess heat fo the surroundings -
(4) The fur helps the wearer gain more heat from the cold air to keep warm.8. The map below shows the location of some animal farms.along a river. The animal
waste from the farms flowed into the river.(1). fish

(2) bacteria

(3) nutrients —
(4). carbon dioxide3. the amount o} different gases in the air is shown tn ine pie cnart below,
¥: (t) Plants take in only Z'when there is ight.

i (2) Plants produce-Z'during photosynthesis.

i (3) There Is less X in exhaled air than in Inhaled air.
i (4) There is. more ¥ in.inhaled ais than in exhaled air",TempImages/10.jpg;TempImages/13.jpg;TempImages/12.jpg
10,10,9,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_9_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Vvhicn line in the grapn defow represents the amount of undigested food in the
five parts, A, B, C, D and E?",TempImages/15.jpg;TempImages/14.jpg
11,11,10,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_10_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"114. -Study ihe food wen below.~ Which of the following graphs shows. how the. populations of R and U are most
likely to be affected?(1). Number of : {<) Numberof
organisms organisms
ue R ann
ne a To
: see ret eee, “a U
set een,
a ee mR
. ~U(3) Number of
ongenionve (4) Number or
organisms.
a veo U [
| ree —
we ere RR _
mee y",
